Time,Volume,Open,High,Low,Close
2019-11-14 23:54:35+00:00,2,108.495,108.495,108.493,108.493
2019-11-14 23:55:00+00:00,5,108.490,108.490,108.486,108.490
2019-11-14 23:55:10+00:00,2,108.492,108.492,108.490,108.490
2019-11-14 23:55:15+00:00,2,108.492,108.495,108.492,108.495
2019-11-14 23:55:25+00:00,2,108.492,108.492,108.490,108.490
2019-11-14 23:55:30+00:00,1,108.492,108.492,108.492,108.492
2019-11-14 23:55:40+00:00,1,108.495,108.495,108.495,108.495
2019-11-14 23:55:50+00:00,1,108.498,108.498,108.498,108.498
2019-11-14 23:56:00+00:00,1,108.496,108.496,108.496,108.496
2019-11-14 23:56:20+00:00,3,108.493,108.493,108.488,108.488
2019-11-14 23:56:25+00:00,1,108.485,108.485,108.485,108.485
2019-11-14 23:56:50+00:00,1,108.482,108.482,108.482,108.482
2019-11-14 23:56:55+00:00,1,108.480,108.480,108.480,108.480
2019-11-14 23:57:05+00:00,1,108.482,108.482,108.482,108.482
2019-11-14 23:57:15+00:00,1,108.484,108.484,108.484,108.484
2019-11-14 23:57:20+00:00,1,108.486,108.486,108.486,108.486
2019-11-14 23:57:50+00:00,5,108.490,108.498,108.490,108.498
2019-11-14 23:58:00+00:00,1,108.496,108.496,108.496,108.496
2019-11-14 23:58:10+00:00,2,108.499,108.502,108.499,108.502
2019-11-14 23:58:15+00:00,1,108.499,108.499,108.499,108.499
2019-11-14 23:58:45+00:00,2,108.501,108.501,108.499,108.499
2019-11-14 23:58:50+00:00,1,108.501,108.501,108.501,108.501
2019-11-14 23:59:00+00:00,1,108.504,108.504,108.504,108.504
2019-11-14 23:59:15+00:00,2,108.502,108.502,108.499,108.499
2019-11-14 23:59:20+00:00,1,108.501,108.501,108.501,108.501
2019-11-14 23:59:35+00:00,1,108.499,108.499,108.499,108.499
2019-11-14 23:59:40+00:00,2,108.502,108.504,108.502,108.504
2019-11-14 23:59:50+00:00,1,108.502,108.502,108.502,108.502
2019-11-14 23:59:55+00:00,1,108.499,108.499,108.499,108.499
2019-11-15 00:00:00+00:00,3,108.496,108.498,108.496,108.496
2019-11-15 00:00:10+00:00,2,108.494,108.494,108.492,108.492
2019-11-15 00:00:15+00:00,4,108.490,108.492,108.487,108.492
2019-11-15 00:00:20+00:00,2,108.490,108.492,108.490,108.492
2019-11-15 00:00:30+00:00,1,108.490,108.490,108.490,108.490
2019-11-15 00:00:40+00:00,1,108.487,108.487,108.487,108.487
2019-11-15 00:00:45+00:00,1,108.484,108.484,108.484,108.484
2019-11-15 00:00:50+00:00,1,108.486,108.486,108.486,108.486
2019-11-15 00:01:00+00:00,1,108.484,108.484,108.484,108.484
2019-11-15 00:01:10+00:00,1,108.482,108.482,108.482,108.482
2019-11-15 00:01:15+00:00,2,108.484,108.486,108.484,108.486
2019-11-15 00:01:30+00:00,1,108.484,108.484,108.484,108.484
2019-11-15 00:01:40+00:00,1,108.487,108.487,108.487,108.487
2019-11-15 00:01:45+00:00,2,108.490,108.492,108.490,108.492
2019-11-15 00:02:00+00:00,2,108.490,108.492,108.490,108.492
2019-11-15 00:02:10+00:00,7,108.494,108.494,108.478,108.478
2019-11-15 00:02:25+00:00,3,108.476,108.476,108.472,108.472
2019-11-15 00:02:35+00:00,4,108.469,108.470,108.466,108.470
2019-11-15 00:02:40+00:00,2,108.468,108.468,108.466,108.466
2019-11-15 00:02:50+00:00,3,108.468,108.472,108.468,108.472
2019-11-15 00:02:55+00:00,2,108.470,108.472,108.470,108.472
2019-11-15 00:03:00+00:00,2,108.470,108.470,108.468,108.468
2019-11-15 00:03:20+00:00,1,108.466,108.466,108.466,108.466
2019-11-15 00:03:25+00:00,2,108.463,108.463,108.460,108.460
2019-11-15 00:03:30+00:00,1,108.458,108.458,108.458,108.458
2019-11-15 00:03:50+00:00,2,108.456,108.456,108.454,108.454
2019-11-15 00:03:55+00:00,1,108.456,108.456,108.456,108.456
2019-11-15 00:04:00+00:00,2,108.458,108.458,108.456,108.456
2019-11-15 00:04:25+00:00,1,108.458,108.458,108.458,108.458
2019-11-15 00:04:45+00:00,1,108.456,108.456,108.456,108.456
2019-11-15 00:05:05+00:00,7,108.458,108.471,108.458,108.469
2019-11-15 00:05:10+00:00,1,108.466,108.466,108.466,108.466
2019-11-15 00:05:15+00:00,1,108.464,108.464,108.464,108.464
2019-11-15 00:05:20+00:00,2,108.466,108.468,108.466,108.468
2019-11-15 00:05:45+00:00,2,108.471,108.474,108.471,108.474
2019-11-15 00:06:00+00:00,2,108.472,108.472,108.469,108.469
2019-11-15 00:06:05+00:00,1,108.466,108.466,108.466,108.466
2019-11-15 00:06:50+00:00,1,108.468,108.468,108.468,108.468
2019-11-15 00:06:55+00:00,2,108.471,108.474,108.471,108.474
2019-11-15 00:07:00+00:00,1,108.471,108.471,108.471,108.471
2019-11-15 00:07:15+00:00,2,108.469,108.472,108.469,108.472
2019-11-15 00:07:25+00:00,4,108.474,108.480,108.474,108.480
2019-11-15 00:07:40+00:00,3,108.483,108.488,108.483,108.488
2019-11-15 00:07:55+00:00,2,108.490,108.492,108.490,108.492
2019-11-15 00:08:00+00:00,2,108.490,108.492,108.490,108.492
2019-11-15 00:08:25+00:00,4,108.495,108.503,108.495,108.503
2019-11-15 00:08:30+00:00,7,108.500,108.513,108.500,108.511
2019-11-15 00:08:35+00:00,8,108.513,108.518,108.510,108.514
2019-11-15 00:08:40+00:00,1,108.512,108.512,108.512,108.512
2019-11-15 00:08:50+00:00,2,108.514,108.516,108.514,108.516
2019-11-15 00:09:00+00:00,3,108.520,108.522,108.519,108.519
2019-11-15 00:09:05+00:00,1,108.516,108.516,108.516,108.516
2019-11-15 00:09:10+00:00,4,108.520,108.526,108.520,108.526
2019-11-15 00:09:15+00:00,3,108.528,108.528,108.524,108.524
2019-11-15 00:09:20+00:00,7,108.522,108.522,108.516,108.522
2019-11-15 00:09:25+00:00,2,108.524,108.526,108.524,108.526
2019-11-15 00:09:30+00:00,1,108.528,108.528,108.528,108.528
2019-11-15 00:09:40+00:00,2,108.526,108.528,108.526,108.528
2019-11-15 00:09:55+00:00,1,108.525,108.525,108.525,108.525
2019-11-15 00:10:00+00:00,2,108.523,108.523,108.520,108.520
2019-11-15 00:10:05+00:00,2,108.518,108.518,108.516,108.516
2019-11-15 00:10:15+00:00,1,108.514,108.514,108.514,108.514
2019-11-15 00:10:20+00:00,1,108.516,108.516,108.516,108.516
2019-11-15 00:10:30+00:00,2,108.518,108.518,108.516,108.516
2019-11-15 00:10:40+00:00,1,108.514,108.514,108.514,108.514
2019-11-15 00:10:50+00:00,1,108.512,108.512,108.512,108.512
2019-11-15 00:10:55+00:00,2,108.510,108.510,108.508,108.508
2019-11-15 00:11:00+00:00,5,108.504,108.504,108.498,108.501
2019-11-15 00:11:05+00:00,1,108.499,108.499,108.499,108.499
2019-11-15 00:11:10+00:00,2,108.502,108.504,108.502,108.504
2019-11-15 00:11:15+00:00,2,108.501,108.504,108.501,108.504
2019-11-15 00:11:20+00:00,2,108.501,108.501,108.499,108.499
2019-11-15 00:11:25+00:00,1,108.502,108.502,108.502,108.502
2019-11-15 00:12:00+00:00,3,108.499,108.501,108.499,108.499
2019-11-15 00:12:10+00:00,3,108.496,108.496,108.491,108.491
2019-11-15 00:12:15+00:00,1,108.494,108.494,108.494,108.494
2019-11-15 00:12:20+00:00,2,108.496,108.498,108.496,108.498
2019-11-15 00:12:30+00:00,2,108.501,108.504,108.501,108.504
2019-11-15 00:12:35+00:00,3,108.506,108.509,108.506,108.506
2019-11-15 00:12:45+00:00,2,108.510,108.512,108.510,108.512
2019-11-15 00:12:50+00:00,1,108.514,108.514,108.514,108.514
2019-11-15 00:13:00+00:00,2,108.512,108.512,108.510,108.510
2019-11-15 00:13:05+00:00,2,108.508,108.508,108.505,108.505
2019-11-15 00:13:15+00:00,3,108.502,108.505,108.502,108.502
2019-11-15 00:13:20+00:00,2,108.504,108.507,108.504,108.507
2019-11-15 00:13:30+00:00,1,108.510,108.510,108.510,108.510
2019-11-15 00:13:35+00:00,1,108.512,108.512,108.512,108.512
2019-11-15 00:13:40+00:00,1,108.514,108.514,108.514,108.514
2019-11-15 00:13:45+00:00,1,108.512,108.512,108.512,108.512
2019-11-15 00:13:50+00:00,1,108.510,108.510,108.510,108.510
2019-11-15 00:14:00+00:00,2,108.508,108.508,108.504,108.504
2019-11-15 00:14:05+00:00,1,108.502,108.502,108.502,108.502
2019-11-15 00:14:10+00:00,2,108.504,108.504,108.502,108.502
2019-11-15 00:14:15+00:00,1,108.504,108.504,108.504,108.504
2019-11-15 00:14:20+00:00,1,108.502,108.502,108.502,108.502
2019-11-15 00:14:30+00:00,3,108.500,108.500,108.498,108.500
2019-11-15 00:14:45+00:00,1,108.502,108.502,108.502,108.502
2019-11-15 00:15:00+00:00,1,108.500,108.500,108.500,108.500
2019-11-15 00:15:05+00:00,1,108.502,108.502,108.502,108.502
2019-11-15 00:15:10+00:00,1,108.500,108.500,108.500,108.500
2019-11-15 00:15:15+00:00,1,108.498,108.498,108.498,108.498
2019-11-15 00:15:30+00:00,5,108.496,108.496,108.490,108.490
2019-11-15 00:15:35+00:00,1,108.493,108.493,108.493,108.493
2019-11-15 00:15:45+00:00,2,108.495,108.498,108.495,108.498
2019-11-15 00:15:55+00:00,1,108.500,108.500,108.500,108.500
